scheme
farmer
panchayat
villag
water
beneficiari
pond
farm
develop
agricultur
implement
employ
programm
project
collector
wage
labour
cent
fodder
worker
drought
crop
area
committe
bank
cost
subsidi
person
poultri
job
wast
suppli
drink
accord
centr
held
sabha
presid
shobana
land
forest
mgnrega
cultiv
administr
demand
construct
given
mgnreg
assist
hous
set
fish
unit
ms
increas
sanction
allot
total
power
could
acr
welfar
polic
child
propos
cover
ensur
number
around
hectar
studi
patil
affect
current
distribut
progress
yield
part
aadhaar
help
municip
mani
grama
zilla
benefit
use
account
substat
group
variou
rate
product
relief
children
sever
applic
manag
receiv
irrig
season
