District Id,Location Name
91,sadar bazar
91,kotwali
92,north east delhi
92,seelam pur
92,shahdara
92,seema puri
93,east delhi
93,gandhi nagar
93,vivek vihar
93,preet vihar
94,new delhi
94,connaught place
94,chanakya puri
94,parliament street
95,central
95,darya ganj
95,pahar ganj
95,karol bagh
96,west
96,patel nagar
96,rajouri garden
96,punjabi bagh
97,south west
97,najafgarh
97,delhi cantonment
97,vasant vihar
98,south
98,hauz khas
98,defence colony
98,kalkaji
99,ganganagar
99,karanpur
99,ganganagar
99,sadulshahar
99,padampur
99,raisinghnagar
99,anupgarh
99,gharsana
99,vijainagar
99,suratgarh
100,hanumangarh
100,sangaria
100,tibi
100,pilibanga
100,rawatsar
100,nohar
100,bhadra
101,bikaner
101,poogal
101,lunkaransar
101,kolayat
101,khajuwala
101,chhatargarh
101,sridungargarh
102,churu
102,taranagar
102,sardarshahar
102,ratangarh
102,sujangarh
103,jhunjhunun
103,chirawa
103,buhana
103,khetri
103,nawalgarh
103,udaipurwati
104,alwar
104,behror
104,mandawar
104,kotkasim
104,tijara
104,kishangarh bas
104,bansur
104,thanagazi
104,kathumar
105,bharatpur
105,pahari
105,kaman
105,deeg
105,nadbai
105,kumher
105,weir
105,bayana
105,rupbas
106,dhaulpur
106,baseri
106,bari
106,sepau
106,rajakhera
107,karauli
107,todabhim
107,nadoti
107,hindaun
107,mandrail
107,sapotra
108,sawai madhopur
108,bamanwas
108,malarna doongar
108,bonli
108,chauth ka barwara
108,khandar
109,dausa
109,baswa
109,mahwa
109,sikrai
109,lalsot
110,jaipur
110,kotputli
110,viratnagar
110,chomu
110,phulera
110,mauzamabad
110,phagi
110,sanganer
110,amber
110,jamwa ramgarh
110,bassi
110,chaksu
111,sikar
111,danta ramgarh
111,sri madhopur
111,neem ka thana
112,nagaur
112,ladnu
112,didwana
112,jayal
112,kheenvsar
112,merta
112,degana
112,parbatsar
112,makrana
112,nawa
113,jodhpur
113,phalodi
113,osian
113,bhopalgarh
113,shergarh
113,luni
113,bilara
114,jaisalmer
114,pokaran
114,fatehgarh
115,barmer
115,sheo
115,baytoo
115,pachpadra
115,siwana
115,gudha malani
115,ramsar
115,chohtan
116,jalor
116,ahore
116,bhinmal
116,bagora
116,sanchore
116,raniwara
117,sirohi
117,sheoganj
117,pindwara
117,abu road
117,reodar
118,pali
118,jaitaran
118,sojat
118,rohat
118,marwar junction
118,desuri
118,sumerpur
118,bali
119,ajmer
119,kishangarh
119,peesangan
119,beawar
119,masuda
119,nasirabad
119,bhinay
119,sarwar
119,kekri
120,tonk
120,malpura
120,peeplu
120,niwai
120,todaraisingh
120,uniara
121,bundi
121,hindoli
121,nainwa
121,indragarh
121,keshoraipatan
122,bhilwara
122,asind
122,hurda
122,banera
122,sahara
122,kotri
122,jahazpur
122,mandalgarh
122,beejoliya
123,rajsamand
123,bhim
123,deogarh
123,amet
123,kumbhalgarh
123,railmagra
123,nathdwara
124,dungarpur
124,aspur
124,sagwara
124,simalwara
125,banswara
125,ghatol
125,garhi
125,bagidora
125,kushalgarh
126,chittaurgarh
126,rashmi
126,gangrar
126,begun
126,rawatbhata
126,kapasan
126,dungla
126,bhadesar
126,nimbahera
126,bari sadri
127,kota
127,pipalda
127,digod
127,ladpura
127,ramganj mandi
127,sangod
128,baran
128,antah
128,atru
128,chhabra
128,chhipabarod
129,jhalawar
129,jhalrapatan
129,aklera
129,manohar thana
129,pachpahar
129,pirawa
129,gangdhar
130,udaipur
130,mavli
130,gogunda
130,kotra
130,jhadol
130,girwa
130,vallabhnagar
130,lasadiya
130,salumbar
130,sarada
130,rishabhdeo
130,kherwara
131,pratapgarh
131,dhariawad
131,peepalkhoont
131,chhoti sadri
131,arnod
132,saharanpur
132,behat
132,nakur
132,deoband
132,rampur maniharan
133,muzaffarnagar
133,kairana
133,shamli
133,budhana
133,khatauli
133,jansath
134,bijnor
134,najibabad
134,nagina
134,dhampur
134,chandpur
135,moradabad
135,thakurdwara
135,kanth
135,bilari
135,sambhal
135,chandausi
136,rampur
136,suar
136,tanda
136,shahabad
136,milak
137,jyotiba phule nagar
137,dhanaura
137,amroha
138,meerut
138,sardhana
138,mawana
139,baghpat
139,baraut
139,khekada
140,ghaziabad
140,modinagar
140,hapur
140,garhmukteshwar
141,gautam buddha nagar
141,jewar
142,bulandshahr
142,sikandrabad
142,siana
142,anupshahr
142,debai
142,khurja
143,aligarh
143,khair
143,gabhana
143,atrauli
143,koil
143,iglas
144,mahamaya nagar
144,sasni
144,sikandra rao
144,hathras
144,sadabad
145,mathura
145,chhata
145,mat
145,mahavan
146,agra
146,etmadpur
146,kiraoli
146,kheragarh
203,pashchim champaran
203,sidhaw
203,gaunaha
203,mainatanr
203,narkatiaganj
203,lauriya
203,bagaha
203,piprasi
203,bhitaha
203,thakrahan
203,jogapatti
203,chanpatia
203,sikta
203,majhaulia
203,bettiah
203,bairia
204,purba champaran
204,raxaul
204,adapur
204,ramgarhwa
204,sugauli
204,banjaria
204,narkatia
204,bankatwa
204,ghorasahan
204,dhaka
204,chiraia
204,motihari
204,turkaulia
204,harsidhi
204,paharpur
204,areraj
204,kesaria
204,kotwa
204,piprakothi
204,chakia
204,pipra
204,pakri dayal
204,patahi
204,phenhara
204,madhuban
204,tetaria
204,mehsi
205,sheohar
205,purnahiya
205,piprarhi
205,dumri katsari
205,tariani chowk
206,sitamarhi
206,bairgania
206,suppi
206,majorganj
206,parihar
206,sursand
206,bathnaha
206,parsauni
206,belsand
206,runisaidpur
206,dumra
206,bajpatti
206,charaut
206,pupri
206,nanpur
206,bokhara
207,madhubani
207,madhwapur
207,harlakhi
207,basopatti
207,ladania
207,laukaha
207,laukahi
207,phulparas
207,babubarhi
207,khajauli
207,kaluahi
207,benipatti
207,bisfi
207,pandaul
207,andhratharhi
207,jhanjharpur
207,ghoghardiha
207,lakhnaur
207,madhepur
208,supaul
208,nirmali
208,chhatapur
208,pratapganj
208,saraigarh bhaptiyahi
208,kishanpur
208,marauna
208,tribeniganj
209,araria
209,narpatganj
209,forbesganj
209,bhargama
209,kursakatta
209,sikti
209,palasi
209,jokihat
210,kishanganj
210,terhagachh
210,dighalbank
210,thakurganj
210,pothia
210,bahadurganj
210,kochadhamin
211,purnia
211,banmankhi
211,bhawanipur
211,rupauli
211,dhamdaha
211,krityanand nagar
211,purnia east
211,kasba
211,jalalgarh
211,amour
211,baisa
211,baisi
211,dagarua
212,katihar
212,falka
212,korha
212,hasanganj
212,kadwa
212,barsoi
212,azamnagar
212,pranpur
212,dandkhora
212,mansahi
212,barari
212,sameli
212,kursela
212,manihari
212,amdabad
213,madhepura
213,gamharia
213,singheshwar
213,ghailarh
213,shankarpur
213,kumarkhand
213,murliganj
213,gwalpara
213,bihariganj
213,puraini
213,alamnagar
214,saharsa
214,satar kataiya
214,mahishi
214,kahara
214,saur bazar
214,patarghat
214,simri bakhtiarpur
214,salkhua
214,banma itahri
215,darbhanga
215,jale
215,singhwara
215,keotiranway
215,manigachhi
215,tardih
215,alinagar
215,benipur
215,bahadurpur
215,hanumannagar
215,hayaghat
215,baheri
215,biraul
215,ghanshyampur
215,kiratpur
215,gora bauram
215,kusheshwar asthan
215,kusheshwar asthan purbi
216,muzaffarpur
216,sahebganj
216,baruraj
216,motipur
216,paroo
216,saraiya
216,marwan
216,kanti
216,minapur
216,bochaha
216,aurai
216,katra
216,gaighat
216,bandra
216,dholi
216,moraul
216,musahri
216,kurhani
216,sakra
217,gopalganj
217,katiya
217,bijaipur
217,bhorey
217,pach deuri
217,kuchaikote
217,phulwaria
217,hathua
217,uchkagaon
217,thawe
217,manjha
217,barauli
217,sidhwalia
218,siwan
218,barharia
218,goriakothi
218,lakri nabiganj
218,bhagwanpur hat
218,maharajganj
218,pachrukhi
218,hussainganj
218,ziradei
218,mairwa
218,guthani
218,darauli
218,andar
218,raghunathpur
218,hasanpura
218,daraundha
218,siswan
219,saran
219,mashrakh
219,panapur
219,taraiya
219,ishupur
219,baniapur
219,lahladpur
219,ekma
219,manjhi
219,jalalpur
219,revelganj
219,nagra
219,marhaura
219,amnour
219,maker
219,parsa
219,dariapur
219,garkha
219,dighwara
219,sonepur
220,vaishali
220,paterhi belsar
220,lalganj
220,goraul
220,chehra kalan
220,patepur
220,mahua
220,jandaha
220,raja pakar
220,hajipur
220,bidupur
220,desri
220,sahdai buzurg
220,mahnar
221,samastipur
221,warisnagar
221,shivaji nagar
221,pusa
221,tajpur
221,morwa
221,patori
221,mohiuddinagar
221,sarairanjan
221,vidyapati nagar
221,dalsinghsarai
221,ujiarpur
221,bibhutpur
221,rosera
221,singhia
221,bithan
222,begusarai
222,khudabandpur
222,chhorahi
222,garhpura
222,cheria bariarpur
222,mansurchak
222,bachhwara
222,teghra
222,barauni
222,birpur
222,naokothi
222,bakhri
222,dandari
222,sahebpur kamal
222,balia
222,matihani
222,shamho akha kurha
223,khagaria
223,alauli
223,mansi
223,chautham
223,beldaur
223,gogri
223,parbatta
224,bhagalpur
224,bihpur
224,kharik
224,naugachhia
224,rangra chowk
224,pirpainti
224,colgong
224,ismailpur
224,sabour
224,nathnagar
224,sultanganj
224,shahkund
224,goradih
224,sonhaula
225,banka
225,shambhuganj
225,rajaun
225,dhuraiya
225,barahat
225,phulidumar
225,belhar
225,chanan
225,katoria
225,bausi
226,munger
226,bariarpur
226,dharhara
226,kharagpur
226,asarganj
226,tetiha bambor
227,lakhisarai
227,barahiya
227,surajgarha
227,chanan*
227,ramgarh chowk
227,halsi
228,sheikhpura
228,barbigha
228,shekhopur sarai
228,ghat kusumbha
228,chewara
228,ariari
229,nalanda
229,karai parsurai
229,nagar nausa
229,harnaut
229,chandi
229,rahui
229,bind
229,sarmera
229,asthawan
229,bihar
229,noorsarai
229,tharthari
229,parbalpur
229,hilsa
229,ekangarsarai
229,ben
229,rajgir
229,silao
229,giriak
229,katrisarai
230,patna
230,maner
230,dinapur
230,khagaul
230,patna rural
230,sampatchak
230,phulwari
230,bihta
230,naubatpur
230,bikram
230,dulhin bazar
230,paliganj
230,masaurhi
230,dhanarua
230,punpun
230,fatwah
230,daniawan
230,khusrupur
230,bakhtiarpur
230,athmalgola
230,belchhi
230,barh
230,pandarak
230,ghoswari
230,mokameh
231,bhojpur
231,arrah
231,koilwar
231,sandesh
231,udwant nagar
231,behea
231,piro
231,charpokhari
231,garhani
231,agiaon
231,tarari
231,sahar
232,buxar
232,simri
232,chakki
232,barhampur
232,chaugain
232,kesath
232,dumraon
232,itarhi
232,nawanagar
233,kaimur
233,bhabua
233,nuaon
233,kudra
233,mohania
233,durgawati
233,chand
233,bhabua
233,adhaura
234,rohtas
234,kochas
234,dinara
234,dawath
234,suryapura
234,bikramganj
234,karakat
234,nasriganj
234,sanjhauli
234,kargahar
234,chenari
234,sheosagar
234,sasaram
234,akorhi gola
234,dehri
234,tilouthu
235,daudnagar
235,haspura
235,goh
235,rafiganj
235,obra
235,barun
235,nabinagar
235,kutumba
235,deo
235,madanpur
236,gaya
236,konch
236,tikari
236,belaganj
236,khizirsarai
236,neem chak bathani
236,muhra
236,atri
236,gaya town c.d. block
236,paraiya
236,guraru
236,gurua
236,amas
236,banke bazar
236,imamganj
236,sherghati
236,dobhi
236,bodh gaya
236,tan kuppa
236,wazirganj
236,barachatti
237,nawada
237,nardiganj
237,warisaliganj
237,kashi chak
237,pakribarawan
237,kawakol
237,roh
237,gobindpur
237,akbarpur
237,hisua
237,narhat
237,meskaur
237,sirdala
237,rajauli
238,jamui
238,islamnagar aliganj
238,sikandra
238,barhat
238,jhajha
238,khaira
238,sono
238,chakai
239,jehanabad
239,ratni faridpur
239,jehanabad
239,kako
239,modanganj
239,ghoshi
239,makhdumpur
239,hulasganj
240,arwal
240,kaler
240,karpi
240,sonbhadra banshi suryapur
240,kurtha
241,north district
241,chungthang
241,mangan
242,west district
242,gyalshing
242,soreng
243,south district
243,namchi
243,ravong
244,east district
244,gangtok
244,pakyong
244,rongli
245,tawang
245,zemithang
245,lumla
245,dudunghar
245,kitpi
245,jang
245,lhou
245,mukto
245,bongkhar
245,thingbu
246,west kameng
246,dirang
246,thembang
246,nafra
246,bomdila
246,kalaktang
246,shergaon
246,rupa
246,singchung
246,jamiri
246,thrizino
246,bhalukpong
246,kamengbari doimara
246,balemu
247,east kameng
247,seijosa
247,dissing passo
247,pakke kessang
247,pizirang
247,richukrong
247,seppa
247,lada
247,bameng
247,pipu dipu
247,gyawe purang
247,khenewa
247,chayangtajo
247,sawa
248,papum pare
248,balijan
248,banderdawa
248,sangdupota
248,besar nello
248,taraso
248,itanagar
248,naharlagun
248,doimukh
248,gumto
248,toru
248,sagalee
248,parang
248,leporiang
248,mengio
248,kimin
248,kakoi
249,upper subansiri
249,taksing
249,limeking
249,nacho
249,siyum
249,taliha
249,payeng
249,giba
249,chetam
249,peer yapu
249,daporijo
249,puchi geko
249,dumporijo
249,gussar
249,gite ripa
249,baririjo
249,maro
250,west siang
250,mechuka
250,monigong
250,pidi
250,payum
250,tato
250,kaying
250,darak
250,kamba
250,rumgong
250,jomlo mobuk
250,liromoba
250,yomcha
250,aalo
250,tirbin
250,basar
250,daring
250,gensi
250,sibe
250,likabali
250,kangku
250,bagra
251,east siang
251,boleng
251,pangin
251,kebang
251,rebo perging
251,koyu
251,kora
251,nari
251,new seren
251,bilat
251,ruksin
251,sille oyan
251,pasighat
251,mebo
251,namsing
252,upper siang
252,tuting
252,migging
252,palling
252,gelling
252,singa
252,yingkiong
252,jengging
252,geku
252,mariyang
252,mopom
252,adipasi
252,katan
253,changlang
253,khimiyong
253,yatdam
253,namtok
253,manmao
253,renuk
253,lyngok longtoi
253,nampong
253,tikhak rima putok
253,jairampur
253,vijoynagar
253,miao
253,kharsang
253,diyun
253,bordumsa
254,tirap
254,soha
254,khonsa
254,dadam
254,kanubari
254,lawnu
254,longding
254,pumao
254,pangchao
254,wakka
254,laju
255,lower subansiri
255,ziro
255,old ziro
255,yachuli
255,yazali
255,pistana
255,kamporijo
255,dollungmukh
255,raga
256,kurung kumey
256,palin
256,yangte
256,sangram
256,nyapin
256,phassang
256,koloriang
256,chambang
256,gangte
256,tarak lengdi
256,sarli
256,parsi parlo
256,damin
256,longding koling
256,pipsorang
256,tali
257,dibang valley
257,mipi
257,anini
257,etalin
257,anelih
257,kronli
257,arzoo circle
258,lower dibang valley
258,hunli
258,desali
258,roing
258,dambuk
258,tinali
258,paglam
258,koronu
259,lohit
259,sunpura
259,tezu
259,wakro
259,chongkham
259,namsai
259,lathao
259,piyong
259,lekang
259,mahadevpur
260,anjaw
260,hayuliang
260,goiliang
260,chaglagam
260,metengliang
260,kibithoo
260,walong
260,hawai
261,mon
261,naginimora
261,tizit
261,hunta
261,shangnyu
261,mon sadar
261,wakching
261,aboi
261,longshen
261,phomching
261,chen
261,angjangyang
261,mopong
261,tobu
261,monyakshu
262,mokokchung
262,longchem
262,alongkima
262,tuli
262,changtongya
262,chuchuyimlang
262,kubolong
262,mangkolemba
262,merangmen
262,ongpangkong
263,zunheboto
263,v.k.
263,akuluto
263,suruhuto
263,asuto
263,aghunato
263,zunheboto sadar
263,atoizu
263,akuhaito
263,pughoboto
263,ghathashi
263,satakha
263,saptiqa
263,satoi
264,wokha
264,changpang
264,aitepyong
264,bhandari
264,baghty
264,sungro
264,sanis
264,lotsu
264,ralan
264,wozhuro
264,wokha sadar
264,englan
264,chukitong
265,dimapur
265,niuland
265,aquqhnaqua
265,kuhoboto
265,nihokhu
265,dimapur sadar
265,chumukedima
265,dhansiripar
265,medziphema
266,phek
266,sekruzu
266,phek sadar
266,khuza
266,meluri
266,phor
266,phokhungri
266,chozuba
266,chetheba
266,sakraba
266,pfutsero
266,zuketsa
266,khezhakeno
266,chizami
266,razieba
267,tuensang
267,noksen
267,chare
267,longkhim
267,tuensang sadar
267,ngoungchung
