District,NAME,EMP_2011
237,Nawada,Unemployment
238,Jamui,Unemployment
239,Jehanabad ,Unemployment
241,North ,Non Agri
242,West,Agricultural
243,South,Agricultural
244,East,Non Agri
245,Tawang,Non Agri
246,West Kameng,Non Agri
247,East Kameng,Agricultural
248,Papum Pare,Non Agri
249,Upper Subansiri,Agricultural
250,West Siang,Agricultural
251,East Siang,Unemployment
252,Upper Siang,Agricultural
253,Changlang,Agricultural
254,Tirap,Agricultural
255,Lower Subansiri,Unemployment
257,Dibang Valley,Agricultural
259,Lohit,Agricultural
261,Mon,Agricultural
262,Mokokchung,Agricultural
263,Zunheboto,Agricultural
264,Wokha,Agricultural
265,Dimapur,Non Agri
266,Phek,Agricultural
267,Tuensang,Agricultural
270,Kohima,Agricultural
272,Senapati (Excluding 3 Sub-Divisions),Agricultural
273,Tamenglong,Agricultural
274,Churachandpur,Agricultural
275,Bishnupur,Non Agri
276,Thoubal,Agricultural
277,Imphal West,Non Agri
278,Imphal East,Non Agri
279,Ukhrul,Agricultural
280,Chandel,Agricultural
281,Mamit,Agricultural
282,Kolasib,Agricultural
283,Aizawl,Non Agri
284,Champhai,Agricultural
285,Serchhip,Agricultural
286,Lunglei,Agricultural
287,Lawngtlai,Agricultural
288,Saiha,Unemployment
289,West Tripura ,Non Agri
290,South Tripura ,Unemployment
291,Dhalai,Unemployment
292,North Tripura ,Unemployment
293,West Garo Hills,Unemployment
294,East Garo Hills,Agricultural
295,South Garo Hills,Unemployment
296,West Khasi Hills,Agricultural
297,Ri Bhoi,Agricultural
298,East Khasi Hills,Non Agri
299,Jaintia Hills,Agricultural
300,Kokrajhar,Unemployment
301,Dhubri,Unemployment
302,Goalpara,Unemployment
303,Barpeta,Unemployment
304,Marigaon,Unemployment
305,Nagaon,Unemployment
306,Sonitpur,Unemployment
307,Lakhimpur,Unemployment
308,Dhemaji,Agricultural
309,Tinsukia,Non Agri
310,Dibrugarh,Non Agri
311,Sibsagar,Non Agri
312,Jorhat,Non Agri
313,Golaghat,Unemployment
314,Karbi Anglong,Unemployment
315,North Cachar Hills,Unemployment
316,Cachar,Non Agri
317,Karimganj,Unemployment
318,Hailakandi,Unemployment
319,Bongaigaon,Unemployment
321,Kamrup,Non Agri
323,Nalbari,Unemployment
325,Darrang,Unemployment
327,Darjiling ,Non Agri
328,Jalpaiguri ,Non Agri
329,Koch Bihar ,Unemployment
330,Uttar Dinajpur,Unemployment
331,Dakshin Dinajpur,Unemployment
332,Maldah ,Unemployment
333,Murshidabad ,Unemployment
334,Birbhum,Unemployment
335,Barddhaman ,Unemployment
336,Nadia ,Unemployment
337,North Twenty Four Parganas,Non Agri
338,Hugli ,Non Agri
339,Bankura ,Unemployment
340,Puruliya,Unemployment
341,Haora ,Non Agri
342,Kolkata,Non Agri
343,South  Twenty Four Parganas,Non Agri
344,Medinipur ,Unemployment
346,Garhwa,Unemployment
347,Chatra,Unemployment
348,Kodarma,Unemployment
349,Giridih,Unemployment
350,Deoghar,Unemployment
351,Godda,Unemployment
352,Sahibganj,Agricultural
353,Pakaur,Agricultural
354,Dhanbad,Non Agri
355,Bokaro,Non Agri
356,Lohardaga,Agricultural
357,Purbi Singhbhum,Non Agri
358,Palamu,Unemployment
360,Hazaribagh,Unemployment
362,Dumka,Unemployment
364,Ranchi,Unemployment
366,Gumla,Agricultural
368,Pashchimi Singhbhum,Unemployment
370,Bargarh,Agricultural
371,Jharsuguda,Non Agri
372,Sambalpur,Agricultural
373,Debagarh,Agricultural
374,Sundargarh,Unemployment
375,Kendujhar,Unemployment
376,Mayurbhanj,Agricultural
377,Baleshwar,Unemployment
378,Bhadrak,Unemployment
379,Kendrapara,Unemployment
380,Jagatsinghapur,Unemployment
381,Cuttack,Unemployment
382,Jajapur,Unemployment
383,Dhenkanal,Unemployment
384,Anugul,Unemployment
385,Nayagarh,Unemployment
386,Khordha,Non Agri
387,Puri,Unemployment
388,Ganjam,Unemployment
389,Gajapati,Agricultural
390,Kandhamal,Agricultural
391,Baudh,Agricultural
392,Sonapur,Agricultural
393,Balangir,Unemployment
394,Nuapada,Agricultural
395,Kalahandi,Agricultural
396,Rayagada,Agricultural
397,Nabarangapur,Agricultural
398,Koraput,Agricultural
399,Malkangiri,Agricultural
400,Koriya,Agricultural
401,Surguja,Agricultural
402,Jashpur,Agricultural
403,Raigarh,Agricultural
404,Korba,Unemployment
405,Janjgir - Champa,Agricultural
406,Bilaspur,Agricultural
407,Kawardha,Agricultural
408,Rajnandgaon,Agricultural
409,Durg,Agricultural
410,Raipur,Unemployment
411,Mahasamund,Agricultural
412,Dhamtari,Agricultural
413,Kanker,Agricultural
414,Bastar,Agricultural
416,Dantewada,Agricultural
418,Sheopur,Agricultural
419,Morena,Unemployment
420,Bhind,Unemployment
421,Gwalior,Non Agri
422,Datia,Agricultural
423,Shivpuri,Agricultural
424,Tikamgarh,Agricultural
425,Chhatarpur,Agricultural
426,Panna,Agricultural
427,Sagar,Agricultural
428,Damoh,Agricultural
429,Satna,Unemployment
430,Rewa,Unemployment
431,Umaria,Unemployment
432,Neemuch,Agricultural
433,Mandsaur,Agricultural
434,Ratlam,Agricultural
435,Ujjain,Agricultural
436,Shajapur,Agricultural
437,Dewas,Agricultural
438,Dhar,Agricultural
439,Indore,Non Agri
440,West Nimar,Agricultural
441,Barwani,Agricultural
442,Rajgarh,Agricultural
443,Vidisha,Unemployment
444,Bhopal,Non Agri
445,Sehore,Agricultural
446,Raisen,Unemployment
447,Betul,Agricultural
448,Harda,Unemployment
449,Hoshangabad,Unemployment
450,Katni,Unemployment
451,Jabalpur,Non Agri
452,Narsimhapur,Agricultural
453,Dindori,Agricultural
454,Mandla,Agricultural
455,Chhindwara,Agricultural
456,Seoni,Agricultural
457,Balaghat,Agricultural
458,Guna,Agricultural
460,Shahdol,Agricultural
462,Sidhi,Agricultural
464,Jhabua,Agricultural
466,East Nimar,Agricultural
468,Kachchh,Non Agri
469,Banas Kantha,Agricultural
470,Patan,Agricultural
471,Mahesana,Unemployment
472,Sabar Kantha,Agricultural
473,Gandhinagar,Agricultural
474,Ahmadabad,Non Agri
475,Surendranagar,Unemployment
476,Rajkot,Non Agri
477,Jamnagar,Unemployment
478,Porbandar,Unemployment
479,Junagadh,Unemployment
480,Amreli,Agricultural
481,Bhavnagar,Non Agri
482,Anand,Unemployment
483,Kheda,Unemployment
484,Panch Mahals,Agricultural
485,Dohad,Agricultural
486,Vadodara,Unemployment
487,Narmada,Agricultural
488,Bharuch,Unemployment
489,The Dangs,Agricultural
490,Navsari,Agricultural
491,Valsad,Non Agri
492,Surat,Non Agri
494,Diu,Non Agri
495,Daman,Non Agri
496,Dadra & Nagar Haveli,Non Agri
497,Nandurbar,Agricultural
498,Dhule,Agricultural
499,Jalgaon,Agricultural
500,Buldana,Agricultural
501,Akola,Agricultural
502,Washim,Agricultural
503,Amravati,Agricultural
504,Wardha,Agricultural
505,Nagpur,Non Agri
506,Bhandara,Agricultural
507,Gondiya,Agricultural
508,Gadchiroli,Agricultural
509,Chandrapur,Agricultural
510,Yavatmal,Agricultural
511,Nanded,Agricultural
512,Hingoli,Agricultural
513,Parbhani,Agricultural
514,Jalna,Agricultural
515,Aurangabad,Agricultural
516,Thane,Non Agri
517,Thane,Non Agri
518,Mumbai (Suburban),Non Agri
519,Mumbai,Non Agri
520,Raigarh,Non Agri
521,Pune,Non Agri
522,Ahmadnagar,Agricultural
523,Bid,Agricultural
524,Latur,Agricultural
525,Osmanabad,Agricultural
526,Solapur,Agricultural
527,Satara,Agricultural
528,Ratnagiri,Agricultural
529,Sindhudurg,Unemployment
530,Kolhapur,Agricultural
531,Sangli,Agricultural
532,Adilabad,Agricultural
533,Nizamabad,Agricultural
534,Karimnagar,Agricultural
535,Medak,Agricultural
536,Hyderabad,Non Agri
537,Rangareddi,Non Agri
538,Mahbubnagar,Agricultural
539,Nalgonda,Agricultural
540,Warangal,Agricultural
541,Khammam,Agricultural
542,Srikakulam,Agricultural
543,Vizianagaram,Agricultural
544,Visakhapatnam,Unemployment
545,East Godavari,Unemployment
546,West Godavari,Agricultural
547,Krishna,Agricultural
548,Guntur,Agricultural
549,Prakasam,Agricultural
550,Nellore,Agricultural
551,Cuddapah,Agricultural
552,Kurnool,Agricultural
553,Anantapur,Agricultural
554,Chittoor,Agricultural
555,Belgaum,Agricultural
556,Bagalkot,Agricultural
557,Bijapur,Agricultural
558,Bidar,Unemployment
559,Raichur,Agricultural
560,Koppal ,Agricultural
561,Gadag,Agricultural
562,Dharwad,Unemployment
563,Uttara Kannada,Non Agri
564,Haveri,Agricultural
565,Bellary,Agricultural
566,Chitradurga,Agricultural
567,Davanagere ,Agricultural
568,Shimoga,Agricultural
569,Udupi,Non Agri
570,Chikmagalur,Agricultural
571,Tumkur,Agricultural
572,Bangalore,Non Agri
573,Mandya,Agricultural
574,Hassan,Agricultural
575,Dakshina Kannada,Non Agri
576,Kodagu,Non Agri
577,Mysore,Unemployment
578,Chamarajanagar,Agricultural
579,Gulbarga,Agricultural
581,Kolar,Agricultural
583,Bangalore Rural,Agricultural
585,North Goa ,Non Agri
586,South Goa,Non Agri
587,Lakshadweep,Non Agri
588,Kasaragod,Non Agri
589,Kannur,Non Agri
590,Wayanad,Unemployment
591,Kozhikode,Non Agri
592,Malappuram,Non Agri
593,Palakkad,Non Agri
594,Thrissur,Non Agri
595,Ernakulam,Non Agri
596,Idukki,Agricultural
597,Kottayam,Non Agri
598,Alappuzha,Non Agri
599,Pathanamthitta,Non Agri
600,Kollam,Non Agri
601,Thiruvananthapuram,Non Agri
602,Thiruvallur,Non Agri
603,Chennai,Non Agri
604,Kancheepuram,Non Agri
605,Vellore,Non Agri
606,Tiruvannamalai,Agricultural
607,Viluppuram,Agricultural
608,Salem,Non Agri
609,Namakkal,Agricultural
610,Erode,Agricultural
611,The Nilgiris,Non Agri
612,Dindigul,Agricultural
613,Karur,Agricultural
614,Tiruchirappalli,Non Agri
615,Perambalur,Agricultural
616,Ariyalur,Agricultural
617,Cuddalore,Unemployment
618,Nagapattinam,Unemployment
619,Thiruvarur,Unemployment
620,Thanjavur,Unemployment
621,Pudukkottai,Agricultural
622,Sivaganga,Agricultural
623,Madurai,Non Agri
624,Theni,Agricultural
625,Virudhunagar,Non Agri
626,Ramanathapuram,Agricultural
627,Thoothukkudi,Non Agri
628,Tirunelveli ,Non Agri
629,Kanniyakumari,Non Agri
630,Dharmapuri,Agricultural
632,Coimbatore,Non Agri
634,Yanam,Non Agri
635,Pondicherry,Non Agri
636,Mahe,Non Agri
637,Karaikal,Non Agri
638,Nicobars,Non Agri
639,Andamans,Non Agri
