villag
develop
water
scheme
farmer
panchayat
collector
worker
fund
area
fodder
implement
project
labour
drought
employ
construct
hous
programm
road
drink
payment
wage
mgnrega
administr
land
welfar
agricultur
team
nreg
sanction
mgnreg
maoist
system
centr
target
job
well
suppli
affect
crop
award
school
nrega
farm
polic
distribut
tank
action
naidu
told
babi
beneficiari
sever
women
hit
group
milk
borewel
bank
connect
cattl
adopt
mani
elect
product
present
cent
kshetra
heat
execut
ensur
utilis
revenu
zilla
total
enrol
problem
irrig
mnreg
increas
receiv
help
concern
number
hospit
inspect
situat
rate
achiev
variou
charg
anim
given
migrat
resid
child
thursday
death
assist
