District Id,Location Name
68,laksar
68,roorkee
69,kalka
69,panchkula
69,panchkula city
70,ambala
70,ambala city
70,barara
70,naraingarh
71,chhachhrauli
71,jagadhri
71,yamunanagar
71,yamunanagar city
71,jagadhari
72,kurukshetra
72,pehowa
72,shahbad
72,thanesar
73,fatehpur pundri
73,guhla
73,kaithal
74,assandh
74,gharaunda
74,indri
74,karnal
74,karnal city
74,nilokheri
75,israna
75,panipat
75,panipat city
75,samalkha
76,ganaur
76,gohana
76,kharkhoda
76,sonipat
77,jind
77,julana
77,narwana
77,safidon
78,fatehabad
78,ratia
78,tohana
79,dabwali
79,ellenabad
79,sirsa
79,sirsa city
80,adampur
80,hansi
80,hisar
80,narnaund
80,hissar
81,badhra
81,bawani khera
81,bhiwani
81,loharu
81,siwani
81,tosham
81,bhiwadi
82,maham
82,rohtak
82,sampla
82,meham
83,bahadurgarh
83,beri
83,jhajjar
83,matenhail
83,jhajjhar
84,mahendragarh
84,narnaul
84,barnaul
85,bawal
85,kosli
85,rewari
85,kosi
86,farrukhnagar
86,gurgaon
86,gurgaon city
86,gurugram
86,manesar
86,pataudi
86,sohna
86,maneswar
87,ferozepur jhirka
87,mewat
87,nuh
87,punahana
87,taoru
87,mewar
88,ballabgarh
88,faridabad
88,surajkund
88,ballabhgarh
89,hathin
89,hodal
89,palwal
89,palwal
89,hodan
90,model town
90,narela
90,north west
90,rohini
90,saraswati vihar
90,north-west
91,burari
91,civil lines
91,kotwali
91,mehrauli
91,north
91,north town
91,sadar bazar
92,azadpur
92,north east delhi
92,seelam pur
92,seema puri
92,shahdara
93,east delhi
93,gandhi nagar
93,laxmi nagar
93,preet vihar
93,vivek vihar
94,adarsh nagar
94,chanakya puri
94,chattarpur
94,connaught place
94,dehli
94,delhi
94,delhi city
94,khirki
94,new delhi
94,parliament street
94,suraj
94,chanakyapuri
94,chatarpur
94,chhattarpur
94,new-delhi
95,central
95,central town
95,darya ganj
95,karol bagh
95,pahar ganj
95,paharganj
95,daryaganj
96,patel nagar
96,punjabi bagh
96,rajouri garden
96,tilak nagar
96,west
97,delhi cantonment
97,najafgarh
97,south west
97,vasant vihar
98,defence colony
98,hauz khas
98,kalkaji
